名称,地址,城市,电话
闪电网咖(万荣九天店),平铺村好又多超市旁边,龙岩,18950898519
艾尔文网咖(新罗中山西路店),中山西路10号10座201室,龙岩,15305032660
闪电网咖(姗姗店),龙发路芳园农家庄西邻,龙岩,15305977701
龙腾网吧(恒亿花园店),西陂街道龙腾中路恒亿花园,龙岩,13358368199/18950898503
挚友网咖,八一路285号2012、2013、2014、2015、2016店,龙岩,13859183169
星空电竞网吧(新店),龙岩市福建省漳平市和平北路406号301室,龙岩,
电竞狐网咖(世纪天成店),西陂街道世纪天成广场(登高西路店),龙岩,18006948126
酷客网吧(中山西路店),中山路三期二号楼二层,龙岩,0597-2110686
闪电网咖(相约流星店),天马山庄1号楼103-105号,龙岩,13950888556
闪电网咖(连城阳光店),阳光新都3层,龙岩,18005978199
闪电网咖(英雄店),中山路凯丰商厦三楼,龙岩,
明珠网咖饮品(会友店),小溪路6-96号,龙岩,18650885184
鑫虎网咖(潮人街店),中山东路D&K隔壁,龙岩,18605978816
飓风电竞网咖(万达店),双龙路与曹溪中路交叉口西340米,龙岩,19359291888
闪电网咖(长青藤店),龙发路闽西交易城a5金穗大酒店3层,龙岩,18950898519
奔驰网咖(文虎楼店),东肖北路石公新村,龙岩,18905972280
闪电网咖(莲东店),莲东土楼坪莲东花园二楼商场1号,龙岩,
九柄电动社Ps5·Switch·Xbox(万宝SOHO店),龙岩大道万宝广场SOHO国际A2栋四楼420（近五号门）,龙岩,18396328911
彼此电玩咖游戏体验店,龙岩大道万宝SOHO国际A2座10楼1017,龙岩,
棵棵电竞馆(鑫虎店),龙岩市新罗区中山东路印刷厂生活小区东侧约50米,龙岩,
飞狼网吧(中山路步行街店),中山路三期2栋,龙岩,18650868165
繁星潮玩运动馆(万达广场龙岩新罗店),双龙路1号A1幢万达广场2F-02B（10号门进来上二楼）,龙岩,
云海网咖,福建省龙岩市新罗区曹溪中路218号美月山庄1楼,龙岩,18959090077
天空之城游乐体验世界(万宝广场店),龙岩大道388号万宝广场三楼南侧海底捞隔壁,龙岩,17759515136
大玩家(龙岩新罗万达店),曹溪街道双龙路万达广场3楼(万达1号门),龙岩,
木星工厂,华莲西路88号星光里商业街B区201,龙岩,17349677376
炎铄星城(京华购物中心店),京华购物中心3楼,龙岩,
博丽动漫社(万达广场龙岩新罗店),双龙路1号A区A1幢万达广场A215,龙岩,
云逸宝游戏厅(梦工坊影城美食城店),龙岩市曹溪镇国际美食城美食商业中心A座5楼店内休息区前台旁,龙岩,
且玩游戏社(龙岩京华中心店),龙岩大道688号京华中心龙岩京华中心F3,龙岩,
王者手游电竞馆,福建省龙岩市新罗区南城街道溪南路36号,龙岩,
大世界动漫电玩城,福建龙岩市新罗区中山路二期4号楼2楼,龙岩,
云逸宝摇杆游戏机(万达影城万阳店),龙岩市西陂路万阳城6楼万达影城内大厅前台旁,龙岩,
云逸宝摇杆游戏机(万达影城万达广场店),龙岩市双龙路1号万达广场A1号楼4楼万达影城内大厅前台旁,龙岩,
云逸宝摇杆游戏机(博纳国际影城龙岩华映店),龙岩市中山街西路大众影剧中心2楼博纳影城内大厅前台旁,龙岩,
娃娃快跑零食贩卖(龙岩万宝店),龙岩大道388号万宝广场龙岩店B1层,龙岩,
布拉格电竞网咖,齐齐哈尔市龙沙区燕山街御园小区,齐齐哈尔,15546233333
海豚电竞网吧,富纺社区华夏嘉苑1号1-2层17号,齐齐哈尔,13224623958
指间缘电竞网咖,黑龙江省齐齐哈尔市富裕县南二道路川府酒楼旁,齐齐哈尔,15331971178
猛犸电竞(南市场店),南铁道公交站210号,齐齐哈尔,15546273082
独角兽电竞会所(龙南街店),龙南街12号安智小区89号楼,齐齐哈尔,13134525685
时光电竞,中华西路劳技小区3号楼2楼,齐齐哈尔,15636207677
迪库电竞网咖,海山小区2号楼8号门市大商新玛特东门,齐齐哈尔,13514626662
梦想电竞馆(通江路店),通江路17号,齐齐哈尔,15845236199
时光电竞(南市场小区店),卜奎南大街184号,齐齐哈尔,15945254555
HQ虹桥电竞馆,雄鹰街16号,齐齐哈尔,15946467772
金色奢华网吧,火车站太顺街21号,齐齐哈尔,
妮卡电竞店(齐齐哈尔南站店),齐齐哈尔市黄河路新鹤城华玉府一期21号楼101号商铺,齐齐哈尔,0452-2211666/18246231234
猛犸电竞网咖(民祥店),黑龙江省齐齐哈尔市龙沙区水师公路45号,齐齐哈尔,13354521773
财神电竞馆,黑龙江省齐齐哈尔市铁锋区中央胡同21号,齐齐哈尔,15164606628
潘多啦电竞网咖,齐齐哈尔市龙沙区工程学院南门御园商服28号A113号,齐齐哈尔,
清木电竞馆,鹤翔文化广场一期A3号楼,齐齐哈尔,13212957612
凯撒电竞运动中心(齐大店),中华西路102号,齐齐哈尔,0452-2525888/18603629879
时光电竞(南市场小区店),卜奎南大街184号,齐齐哈尔,15945254555
次时代电玩PS5·Switch·XBOX主机游戏店,龙兴嘉园28号楼1层10号东1门,齐齐哈尔,15590800914
飞狐电竞馆,黑龙江省齐齐哈尔市铁锋区东局宅繁荣小区通东商服29号综合楼00单元一层03号,齐齐哈尔,13624621444
独角兽电竞,黑龙江省齐齐哈尔市龙沙区民祥小区41号楼4门市,齐齐哈尔,18646617943
时光电竞(民祥小区店),黑龙江省齐齐哈尔市龙沙区水师公路28号,齐齐哈尔,
520电竞网咖聚缘网络,黑龙江省齐齐哈尔市龙沙区南航街道民航路瑞祥小区16号楼4门市,齐齐哈尔,13504628177
拿铁电竞(十奎食街店),黑龙江省齐齐哈尔市建华区建设大街运建园小区73号楼,齐齐哈尔,18204527717
咔咔电竞酒店(和谐大道店),黑龙江省齐齐哈尔市建华区建设大街433号福顺小区8号楼,齐齐哈尔,
冒险岛电玩,文化大街69号,齐齐哈尔,18045266809
青春年华棋牌,鹤翔体育文化广场1期A2号楼119号,齐齐哈尔,15663362288
宜博电竞馆(新立街店),齐齐哈尔市龙沙区新立街新合家园,齐齐哈尔,18714304440
独角兽电竞酒店,黑龙江省齐齐哈尔市龙沙区雄鹰街5号,齐齐哈尔,
绿洲电竞,黑龙江省齐齐哈尔市龙沙区文化大街工建路98号,齐齐哈尔,
虹桥电竞馆,齐齐哈尔市龙沙区东甫胡同龙沙小区西南侧,齐齐哈尔,
双人成行电玩馆,锦湖名苑秀水园西门北走20米,齐齐哈尔,18946238301
快乐电堂动漫娱乐中心(齐齐哈尔百货大楼店),卜奎大街55号齐齐哈尔百货大楼6楼,齐齐哈尔,0452-2457373
假日电竞(文化大街店),黑龙江省齐齐哈尔市建华区文化大街175号,齐齐哈尔,
智栋电玩城(北方新天地店),卜奎南大街北方新天地4楼1-2号,齐齐哈尔,18714320333
炫酷联盟电玩城(大商新玛特齐齐哈尔店),中环南路73号齐齐哈尔大商新玛特购物广场6层,齐齐哈尔,0452-2388488
齐齐哈尔风雷游艺酒店,齐齐哈尔市新立街长青家园D区17号楼商服,齐齐哈尔,
洛圣都电玩,齐齐哈尔市建华区卜奎北大街百悦居幼儿园北侧约170米,齐齐哈尔,
大玩家(齐齐哈尔万达店),新江路1号万达广场三楼,齐齐哈尔,0452-6038552
