名称,地址,城市,电话,区域,lng,lat,urlKey
乐乐网咖,昌里路305号,上海,19116331293,上南地区,121.492473,31.174004,lazzGhw3Gxb7nCMO
喵喵网咖,年家浜路48号1-2层,上海,20943118,康桥/周浦,121.585677,31.114441,laziP34CalQdgTvL
魔神电竞,上川路2271号3楼,上海,15202172180,曹路,121.677589,31.283258,laprDGDB5hLVNaRT
网鱼电竞,上丰路1800号2楼,上海,18721431819,迪士尼,121.679592,31.241203,lakwb0iCfP4R56Vb
伊乐网咖台球·PC방& 당구장,武川路5号B1层（唯庭酒店进去电梯直达）,上海,55808627,五角场/大学路,121.493698,31.300041,lahrpo6zgcsYtE2q
极狐电竞,川周公路2824号2楼,上海,18930316751,康桥/周浦,121.618561,31.143071,laXuk5YUjrPOiyoX
东方电竞·网咖,京华路283号2层,上海,13818227282,国家会展中心,121.273748,31.171971,laU1lIbw3Gx3eSZh
网鱼电竞,望园南路1799弄18号2座2楼205室（星巴克楼上）,上海,15000400497,南桥,121.48675,30.918788,laRGPueRHprgRvMX
网鱼网咖,关岳路108号2楼,上海,16503150239,康桥/周浦,121.585836,31.119448,laQJOUdjoJlRlm3o
星宫电竞,宝安公路3705弄马陆包装城38-39号,上海,19145656812,马陆镇,121.272199,31.324227,laCvOTEsTIBJNSZv
第九维度电竞,南泉北路588号（新大陆广场北楼N2-05/06）,上海,15801993236,八佰伴,121.518911,31.229791,la9viWDWDHpWKCag
网鱼电竞,沪南路2229弄复地活力城商场北区4楼4023（海底捞楼上）,上海,13482836381,御桥,121.564421,31.159844,l9tqhdFhiyZFgz0W
网鱼网咖,市台路388号3楼,上海,13061664655,市台路,121.352634,31.314981,l9jSj8AA1e3dPLAA
蓝像素·腾讯电竞馆,宝山路街道芷江中路266号(中医医院旁),上海,58885859,西藏北路/中兴路,121.472044,31.259904,l9i2InrHMMdP7IbY
,,上海,,,,,l9eo8qgKAXB9zY9A
Bwin电竞,竹园西路930弄4号3层301室,上海,18117013753,浦江镇,121.504461,31.070261,l9e8p6aKn7O60bv4
网鱼网咖,康沈路1608号2层,上海,15201753855,康桥/周浦,121.575607,31.117184,l9PosxOjeaY0rKgN
网鱼电竞,张杨路2852号-2860号二层201室,上海,17510441370,金杨地区,121.564788,31.245258,l9PEFEtFPKMGME8D
东方电竞馆,杨泰路698号2楼,上海,15001805372,杨行镇,121.437352,31.381405,l9OSVCv6cjtF8hGu
